algorithm,config,seed,run_name,episode,total_steps,train_reward,train_cost,eval_mean_reward,success_rate,collision_rate,timeout_rate,mean_cost,mean_path_length,mean_smoothness,mean_steps,lambda
ppolag,base,0,safeugv_ppolag_base_seed0_20260611142131,4.000000000000000000e+02,3.767700000000000000e+04,9.098240661621093750e+01,4.716212749481201172e+00,1.264227981567382812e+02,8.000000119209289551e-01,0.000000000000000000e+00,2.000000029802322388e-01,1.876571083068847656e+01,7.445037364959716797e+00,3.290629196166992188e+01,1.288999938964843750e+02,0.000000000000000000e+00
ppolag,base,1,safeugv_ppolag_base_seed1_20260611142131,4.000000000000000000e+02,4.709400000000000000e+04,7.252216339111328125e+01,7.166676521301269531e+00,5.103527832031250000e+01,3.000000119209289551e-01,0.000000000000000000e+00,6.999999880790710449e-01,4.395400047302246094e+00,5.856251239776611328e+00,5.853203582763671875e+01,1.996000061035156250e+02,1.148820295929908752e-01
ppolag,base,2,safeugv_ppolag_base_seed2_20260611142131,4.000000000000000000e+02,4.228100000000000000e+04,8.869741058349609375e+01,7.690743446350097656e+00,1.119072494506835938e+02,6.999999880790710449e-01,0.000000000000000000e+00,3.000000119209289551e-01,1.305376338958740234e+01,7.380589962005615234e+00,6.988919830322265625e+01,1.441000061035156250e+02,5.119390785694122314e-02
